,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
41,PA14_62400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PA14_00750,PA14_03050,PA14_21480,PA14_26970,PA14_31750,PA14_35640,PA14_42310,PA14_49270,PA14_49890,PA14_69480,PA14_70760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PA14_29940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PA14_00770,PA14_01440,PA14_01930,PA14_02140,PA14_03470,PA14_04670,PA14_07930,PA14_16710,PA14_18350,PA14_19900,PA14_23990,PA14_24650,PA14_26530,PA14_26570,PA14_27280,PA14_33080,PA14_35170,PA14_38110,PA14_39420,PA14_41000,PA14_42020,PA14_42390,PA14_42970,PA14_43300,PA14_46510,PA14_49700,PA14_52010,PA14_52930,PA14_54770,PA14_55180,PA14_55890,PA14_61250,PA14_64670,PA14_67510,PA14_68500,PA14_71670,PA14_71750,PA14_71910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PA14_54410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PA14_16130,PA14_67440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,87159893|SAUSA300_1505|SAUSA300_1505|,87159924|SAUSA300_1686|SAUSA300_1686|,87160187|SAUSA300_1498|SAUSA300_1498|,87160405|SAUSA300_1909|SAUSA300_1909|,87160409|SAUSA300_0655|SAUSA300_0655|,87160411|SAUSA300_0445|SAUSA300_0445|,87160438|SAUSA300_2317|SAUSA300_2317|,87160525|SAUSA300_1454|SAUSA300_1454|,87160735|SAUSA300_1586|SAUSA300_1586|,87160859|SAUSA300_2396|SAUSA300_2396|,87161019|SAUSA300_2027|SAUSA300_2027|,87161060|SAUSA300_2525|SAUSA300_2525|,87161091|SAUSA300_0972|SAUSA300_0972|,87161214|SAUSA300_1248|SAUSA300_1248|,87161236|SAUSA300_1044|SAUSA300_1044|,87161242|SAUSA300_0078|SAUSA300_0078|,87161299|SAUSA300_0488|SAUSA300_0488|,87161339|SAUSA300_0791|SAUSA300_0791|,87161400|SAUSA300_1688|SAUSA300_1688|,87161454|SAUSA300_0005|SAUSA300_0005|,87161477|SAUSA300_1523|SAUSA300_1523|,87161486|SAUSA300_1109|SAUSA300_1109|,87161509|SAUSA300_1048|SAUSA300_1048|,87161564|SAUSA300_1070|SAUSA300_1070|,87161917|SAUSA300_0173|SAUSA300_0173|,87161967|SAUSA300_1369|SAUSA300_1369|,87161993|SAUSA300_0643|SAUSA300_0643|,87162074|SAUSA300_1994|SAUSA300_1994|,87162121|SAUSA300_1895|SAUSA300_1895|,87162209|SAUSA300_2092|SAUSA300_2092|,87162234|SAUSA300_0834|SAUSA300_0834|,87162348|SAUSA300_0856|SAUSA300_0856|,87162374|SAUSA300_2246|SAUSA300_2246|,PA14_04070,PA14_30370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PA14_33310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PA14_09050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PA14_10550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
